BaB-nr	wijziging aan te brengen IvNT
2427	2e foto links roteren (tekst in marge) en als 3e foto invoegen
73	1e foto 180 roteren (adres) en als 2e foto invoegen; alle volgende foto's rechts roteren
877	foto's zijn in verkeerde onduidelijke volgorde gefotografeerd; daarom nieuwe textfile KB 336-166-1-6.txt en nieuwe foto's aangeleverd in plaats van KB 336-166-171 en de daarmee corresponderende foto's
1747	foto 3 links roteren en huidige foto 3 wordt foto 4
2510	foto 5 ontbreekt. Dat moet de niet geleverde 2013_aug-0996 zijn (gaat hierbij; is eerder ook op 18 aug 2919 geleverd)
501	1e foto links roteren (adres); huidige 1e foto als 3e foto invoegen
502	1e foto links roteren (adres); huidige 1e foto als 3e foto invoegen
2192	1e foto 180 roteren (adres); alle volgende foto's links roteren
2315	1e foto 180 roteren (adres); alle volgende foto's links roteren
276	1e en 2e foto allebei links roteren
2501	1e foto verwijderen (foutief; 2013_aug-0884.jpg) en textfile 2013_aug-0884-0888.txt vervangen door nieuwe 2013_aug-0885-0888.txt (hierbij aangeleverd)
875	2e foto ontbreekt. Dat is de eerder geleverde KB 336-162. Fout komt omdat in de textfile die foto niet is opgenomen. Daarom lever ik nieuwe textfile KB 336-161-163 aan zodat die de juiste foto's koppelt. 
1411	laatste foto rechts roteren en achteraan invoegen (tekst in marge)
142	1e foto 180 roteren (adres); alle volgende foto's links roteren
1759	laatste foto links roteren (vanwege tekst marge) en invoegen als nieuwe laatste foto
2254	1e foto 180 roteren (adres); alle volgende foto's links roteren
1383	1e foto links roteren en als 2e foto invoegen; laatste foto ook links roteren en als allerlaatste invoegen; 
2330	1e foto 180 roteren (adres), 2e foto links roteren (tekst marge) en invoegen als 3e foto, laatste foto rechts roteren en invoegen als voorlaatste
2093	alle foto's links roteren, huidige 1e foto 180 roteren (tekst marge) en invoegen als 2e foto
2508	alle foto's links roteren behalve de 1e foto
2509	3e foto (2013_aug-0985) deleren, alle foto's links roteren; nieuwe textfile 2013_aug-0983-0987 omdat in de huidige 0985 staat vermeld
2174	laatste foto links roteren en invoegen als nieuwe laatste; 
2522	alle foto's rechts roteren behalve 1e foto en foto 17
75	alle foto's rechts roteren
1552	alle foto's rechts roteren
1633	alle foto's links roteren
1097	2e foto (brief) rechts roteren, huidige 2e foto wordt 3e foto
1581	alle foto's links roteren
1628	alle foto's links roteren
2431	2e, 3e en 4e foto links roteren
1386	3e foto links roteren (tekst in marge)en toevoegen als 4e foto
1937	1e foto 180 roteren (adres), huidige 1e foto wordt 2e foto
2331	1e foto 180 roteren (adres), volgende foto's links roteren
2197	1e foto 180 roteren (adres), alle volgende foto's links roteren, 5e foto 180 geroteerd na huidige foto5 invoegen, 6e foto 180 geroteerd na huidige foto6
2267	1e foto 180 roteren (adres), 2e foto 180 roteren wordt foto 3, 2e foto links roteren, wordt nieuwe foto 2
2429	4e foto links roteren
1178	1e foto links roteren 
92	2e foto links roteren (tekst in marge) en als 3e foto invoegen
2528	3e foto rechts roteren
2290	voorlaatste foto rechts roteren en als volgende foto invoegen (tekst in marge)
2343	1e foto rechts roteren (adres)
1582	foto's 1,3 en 4 links roteren
426	3e foto rechts roteren
1612	alle foto's links roteren
1550	alle foto's links roteren behalve foto 1
278	2e foto rechts roteren
2023	1e foto 180 roteren (adres), huidige 1e foto wordt foto 3
2161	volgorde foto 2 en 3 omwisselen, beide foto's ook links roteren vanwege tekst in marge; die nieuwe foto's invoegen
1929	1e foto links roteren
2512	2e foto rechts roteren en na huidige 2e foto invoegen (tekst in marge)
2110	4e foto rechts roteren en voor huidige 4e foto plaatsen; 5e foto links roteren en voor huidige 5e foto plaatsen
1891	laatste foto 180 roteren en toevoegen
2504	3e foto rechts roteren en voor huidige 3e foto invoegen
2056	5e foto links roteren en invoegen, laatste foto 180 roteren en als laatste invoegen
1583	1e, 3e en 4e foto links roteren
403	1e foto 180 roteren en toevoegen als 3e foto
2520	2e en 3e foto rechts roteren
2521	alle foto's rechts roteren behalve 1e foto
2516	alle foto's rechts roteren behalve 1e foto
2518	alle foto's rechts roteren behalve 1e foto
2519	3e en 4e foto rechts roteren
2517	alle foto's rechts roteren behalve laatstefoto
2433	2e foto links roteren
2432	alle foto's links roteren behalve laatste foto
2505	2e foto links roteren
2557	3e foto links roteren
2507	 3e en 5e foto links roteren
1462	1e foto links roteren en als 2e foto invoegen
2280	1e foto links roteren en als 2e foto invoegen
2446	alle foto's behalve 1e foto links roteren
2484	alle foto's rechts roteren behalve 1e foto
2176	1e foto rechts roteren (adres), 2e en 3e foto 180 roteren
1883	2e en 3e foto rechts roteren en invoegen
2314	beide foto's rechts roteren, foto 2 nog eens 180 roteren en invoegen
2266	1e foto rechts roteren (adres), 2e foto 180 roteren
1142	2 foto's ontbreken die met het slot van de brief te maken hebben: 17-06-2009 535-1 en 17-06-2009 535-2 (hierbij geleverd); textfile 17-06-2009 531-534 deleren en vervangen door  17-06-2009 531-535-2.txt
2282	1e foto rechts roteren (adres), 2e en 3e foto 180 roteren
2334	1e foto rechts roteren (adres), 2e  foto 180 roteren
2234	1e foto rechts roteren (adres), 2e  foto 180 roteren
2335	1e foto rechts roteren (adres), 2e en 3e foto 180 roteren
1959	2e foto links roteren en invoegen als 3e foto
2085	1e foto 180 roteren, 2e foto rechts roteren, huidige 2e foto wordt 3e foto
2083	1e foto 180 roteren (adres), 2e en 3e foto links roteren
2450	alle foto's behalve 1e foto links roteren
1816	2e foto links roteren (tekst in marge) en als 3e foto invoegen
2143	1e foto 180 roteren (adres), 2e foto links roteren
2144	1e foto 180 roteren
2448	alle foto's links roteren
279	1e foto rechts roteren
2145	1e foto 180 roteren, andere links roteren
1437	laatste foto 180 roteren en toevoegen
2515	alle foto's rechts roteren behalve laatste foto
2514	2e foto rechts roteren
2437	2e foto links roteren
1638	alle foto's links roteren
1643	foto links roteren
2447	alle foto's links roteren
2048	1e foto 180 graden en invoegen
2004	laatste foto 02-07-2010 135 ontbreekt, omdat die niet in textfile 02-07-2010 132-135 was aangegeven; hierbij nieuwe textfile  02-07-2010 132-135
2020	1e foto 180 roteren, huidige 1e foto wordt 5e foto
2268	1e foto 180 roteren, 2e foto links roteren
1308	5e foto rechts roteren, 6e foto links roteren (tekst marge) en invoegen na huidige 6e foto
1768	2e foto links roteren (tekst in marge) en als 3e foto invoegen
1642	1e, 2e en laatste foto links roteren, laatste foto ook 180 graden roteren en invoegen als laatste
2308	1e foto 180 roteren, 2e en 3e foto links roteren
2451	2e foto rechts roteren, huidige 2e foto (tekst in marge) wordt 3e foto
1530	alle foto's links roteren
2025	3e foto links roteren (tekst in marge)en toevoegen als 4e foto
2337	1e foto 180 roteren (adres); alle volgende foto's links roteren
2223	1e foto 180 roteren, 2e foto rechts roteren, huidige 2e foto wordt 3e foto (tekst in marge)
1908	3e foto rechts roteren, huidige 3e foto wordt 4e foto (tekst in marge)
1645	alle foto's links roteren
1433	laatste foto links roteren (vanwege tekst marge) en invoegen als nieuwe laatste foto
2445	1e en 2e foto allebei links roteren, huidige 3e foto moet 2e foto worden
1528	alle foto's links roteren
2523	4e, 5e en 6e foto rechts roteren
1784	1e foto links roteren
1527	alle foto's links roteren
2182	2e foto links roteren en invoegen als 3e foto, huidige 3e foto links roteren
2513	2e, 3e, 4e en 6e  foto rechts roteren
2162	1e foto 180 roteren, 2e en 3e foto links roteren
2276	2e foto links roteren (tekst in marge) en als 3e foto invoegen
1580	alle foto's links roteren
2313	2e foto links roteren, 3e en 4e 180 roteren
1809	1e foto rechts roteren en als 3e foto invoegen
1620	2e foto links roteren
2444	2e en 3e foto links roteren
2336	1e foto rechts roteren, 2e en 3e foto 180 roteren
1619	2e en 3e foto links roteren
2157	1e foto rechts roteren, 2e foto 180 roteren
2390	1e foto links roteren en invoegen als 2e foto
1603	2e foto links roteren
1605	1e foto links roteren, 2e foto rechts roteren en invoegen, huidige 2e foto wordt 3e foto
1600	1e foto links roteren
1072	4e foto links roterenen invoegen
1598	alle foto's links roteren
1599	1e foto links roteren
1564	alle foto's links roteren
1652	3e foto links roteren en als 4e invoegen
1604	alle foto's links roteren
1591	2e foto links roteren, huidige 2e foto wordt 3e foto
1590	alle foto's links roteren
1474	2e foto links roteren en invoegen achter huidige 2e foto, 3e foto links roterenen invoegen achter huidige 3e foto
1551	alle foto's links roteren
1601	2e foto links roteren en invoegen als 3e foto
1587	alle foto's links roteren
1475	foto's ontbreken: het zijn 05-01-2010 426a en 05-01-2010 427 hierbij geleverd
2488	2e en 3e foto rechts roteren
1592	1e foto links roteren
1562	1e en 2e foto links roteren
1566	1e foto links roteren 
1593	1e en 2e foto links roteren
1608	alle foto's links roteren
1699	2e foto rechts roteren, huidige 2e foto wordt 3e
2486	2e foto links roteren en invoegen als 3e foto
1682	2e foto links roteren en invoegen als 3e foto
749	2e foto links roteren en invoegen als 3e foto
1064	3e foto links roteren (tekst in marge)en toevoegen als 4e foto; laatste foto deleren
1771	2e foto links roteren en invoegen als 3e foto
2348	1e foto 180 roteren, huidige 1e foto wordt 2e foto
2428	3e foto links roteren
759	2e foto links roteren en invoegen als 3e foto
2559	2e foto recht roteren (tekst in marge) en invoegen als foto 3
