lemma	pos	totaal	Delft	Deux	Leuven	Luther	SV1657	woordvormen
aankloppen	VRB	11	0	2	0	6	3	[aenklopte 2]; [aen-klopt 4]; [aenkloppen 1]; [aenklopt 1]; [aenkloppe 1]; [aengeklopt 1]; [aen-kloppen 1]
aankomeling	NOU	16	0	0	11	1	4	[aencomelinck 2]; [aen-komeling 1]; [aencomelinc 3]; [aencomelinghen 6]; [aenkomelingh 3]; [aenkomelingen 1]
aankomen	VRB	205	7	23	54	39	82	[aenkomen 53]; [aenkomt 9]; [aengekomen 13]; [aenkomen. 1]; [aenkomende 1]; [ancomen 4]; [aen-gekomen 8]; [aenghekomen 6]; [aencomende 7]; [aen-komt 5]; [aen-komen 18]; [aenghecomen 14]; [anquamen 1]; [aenquamen 6]; [aenquam 12]; [aenkoemt 3]; [aen-quam 8]; [aenkome 2]; [aencomen 30]; [aengeko-men 1]; [aencoemt 2]; [aengecomen 1]
aankomen	ADJ	12	0	1	8	0	3	[aenghecomen 8]; [aenghekomen 1]; [aenquamen 3]
aankomend	ADJ	20	1	0	11	0	8	[aencomende 11]; [eencomende 1]; [aenkomende 8]
aankomst	NOU	68	0	0	3	6	59	[aenkomste 54]; [Aenkomste 1]; [aen-komste 6]; [aencoemst 2]; [aenkomsten 2]; [eenkomsten 1]; [aencoemste 1]; [aenkomst 1]
aanleggen	VRB	27	0	5	1	2	19	[aenleggen 11]; [aenleght 3]; [aenlecht 1]; [aengeleght 4]; [aen-leggen 1]; [aengeleyt 4]; [aenlegghen 3]
aanleiden	VRB	12	1	5	0	0	6	[aenleydende 1]; [aenleyden 6]; [aengheleyt 1]; [aenleyde 1]; [aenleyt 3]
aanleiding	NOU	25	0	1	0	6	18	[aenleydinge 19]; [aenleydinghe 1]; [aen-leydinge 5]
aanlokken	VRB	21	0	0	2	1	18	[aenlockt 2]; [aen-gelockt 1]; [aenlocken 6]; [Aenlockende 1]; [aengelockt 6]; [aenlockende 5]
aanlopen	VRB	29	1	6	0	10	12	[aenloopt 2]; [aen-geloopen 2]; [aen-loope 1]; [aenloopen 12]; [aengeloopen 2]; [ooliab 1]; [aenliepen 1]; [aenloopende 1]; [aen-loopt 1]; [aen-loopen 4]; [Ahaliab 2]
aanmerkelijk	ADJ	31	0	0	0	0	31	[anmerckelick 1]; [aenmerckelick 16]; [aenmercklicke 2]; [aenmercklick 2]; [aenmerckelicke 10]
aanmerken	ADJ	11	1	1	7	0	2	[aenmercti 1]; [aenmercket 1]; [aenmerckende 3]; [aenmercke 1]; [aenmerct 1]; [anmercke 1]; [aenmercken 2]; [Aenmerct 1]
aanmerken	ADP	35	0	4	18	2	11	[aenmercte 1]; [aenmercket 2]; [Aen-mercket 1]; [Aen-merckt 1]; [aenmerckende 24]; [aenmercke 1]; [aenmerct 2]; [aenmercken 1]; [Aenmerct 2]
aanmerken	VRB	141	6	9	81	2	43	[aen-merckt 2]; [aenmercte 1]; [aen-gemerckt 1]; [aengemerckt. 1]; [aenmerckten 1]; [aengemerckt 21]; [aenghemerct 7]; [aenmerckt 10]; [aenmercken. 1]; [aenghemerckt 2]; [aenmerkende 3]; [aenmerckende 4]; [aenmercten 2]; [aenmerct 40]; [anmerken 1]; [aenmerken 3]; [aenmercken 23]; [aenmerckte 1]; [Aenmerckt 8]; [Aenmerct 9]
aanmerken	NOU	27	1	3	17	1	5	[aenmercte 1]; [Amalek. 1]; [aenmercti 1]; [anmercte 1]; [aenmerckende 1]; [aenmerck 1]; [aenmerct 7]; [aenmerken 1]; [aenmercken 8]; [aenmerckte 1]; [Aenmerct 4]
aanmerking	NOU	22	0	1	0	1	20	[aenmerkinghe 1]; [aenmerckingen 2]; [aenmerckinge 17]; [aen-merckingen 1]; [aenmerckinghe 1]
aannemen	ADJ	36	1	20	10	4	1	[aen-neemt 1]; [aenghenomen 28]; [aen-namen 2]; [aennam 1]; [Asaiam 1]; [aennamen 1]; [aen-naemt 1]; [aennaemt 1]
aannemen	NOU	14	2	2	0	3	7	[aennemen 4]; [asaiam. 1]; [aennam 2]; [aen-nemen 1]; [aenneemst 1]; [aennam. 1]; [aniam 1]; [aen-genomen 1]; [aennemet 1]; [aen-genomen. 1]
aannemen	NEPER	23	3	6	5	4	5	[annam 1]; [aenghenomen 1]; [anneemt 1]; [aennam 2]; [aen-nemen 1]; [annemet 1]; [Annim 1]; [Annam 10]; [aen-nam 1]; [aenneemt. 1]; [aen-ghenomen 1]; [Aniam 2]
aannemen	VRB	811	13	118	34	142	504	[aennemen 253]; [aen-neemt 26]; [aenghenomen 41]; [aen-namen 5]; [aennemende 17]; [aengenomen. 4]; [aennam 11]; [aen-nemen 63]; [aennemen. 6]; [aennamen 9]; [aennam. 1]; [aenneemt 41]; [anghenomen 2]; [Aennemen 2]; [aengenomen 285]; [aen-genomen 44]; [annemen 1]
aanneming	NOU	77	1	13	2	1	60	[aennemingen 1]; [aenneminghe 14]; [Aenneminge 1]; [aen-neminge 1]; [aenneminge 60]
aanporren	VRB	10	0	0	0	0	10	[aenporren 3]; [aenporre 1]; [aengeporret 4]; [aengeport 1]; [Aenporren 1]
aanraken	NOU	10	0	0	0	2	8	[aenraeckten 1]; [aenraeckte 2]; [aen-raeckten 1]; [aen-raken 1]; [aenraken 5]
aanraken	VRB	31	0	0	0	4	27	[aengeraeckt 10]; [aenraeckten 3]; [aenraeckte 1]; [aenraeckt 6]; [aen-raken 2]; [aenrakende 1]; [aenraken 8]
aanrichten	VRB	68	0	17	0	19	32	[aen-gerichtt 1]; [aengerecht 7]; [aen-richten 7]; [aen-gericht 5]; [aenrichten 28]; [aenricht 2]; [aen-richt 1]; [aengericht 6]; [aengehericht 1]; [aenrichtende 2]; [aen-richte 1]; [aenghericht 1]; [aen-richtede 1]; [aenrichteden 1]; [aenrechten 4]
aanrichten	NOU	11	0	0	0	8	3	[aen-richten 6]; [aenricht 1]; [aen-richt 1]; [aenrichtede 3]
aanrijpen	NELOC	68	0	12	0	21	35	[Ahaliba 1]; [Sanherib 67]
aanrijpen	NEPER	43	0	19	0	14	10	[Ahaliba 15]; [Sanherib 28]
aanrijpen	NOU	14	0	5	0	2	7	[aen-riept 1]; [Sanherib. 3]; [aenriepest 1]; [Sanherib 9]
aanristen	VRB	15	0	14	0	1	0	[aen-richtet 1]; [aengherichtet 9]; [aengerichtet 3]; [aenrichtet 2]
aanroepen	ADJ	33	13	2	15	1	2	[aenrope 1]; [aen-roept 1]; [aengheroepen 16]; [aengheropen 12]; [anropen 1]; [aenroepende 2]
aanroepen	NOU	12	5	0	4	1	2	[anriep 2]; [aenroepet 1]; [aen-roept 1]; [aenriepen 3]; [aenroepens 1]; [anropens 1]; [aenroep 1]; [aenropen 1]; [aenroept 1]
aanroepen	VRB	535	94	87	152	61	141	[anriep 4]; [aenroepet 1]; [aenrope 4]; [aen-riepen 2]; [aen-geroepen 3]; [aen-roept 4]; [aen-riep 2]; [aengheroepen 58]; [aengheropen 7]; [aenroepen 185]; [aenriepen 16]; [aenroepeste. 1]; [aenriep 28]; [angeropen 1]; [aenroepe 19]; [anropen 11]; [aen-roepe 7]; [aenroepende 18]; [aenroept. 1]; [angheropen 4]; [aenroepen. 2]; [anriepen 1]; [aenroepn 1]; [aengeroepen 44]; [anropende 3]; [aen-roepen 35]; [anroepen 2]; [aenroep 2]; [aengheropen. 1]; [anroopt 1]; [aenropen 12]; [Aenroepen 3]; [aengeropen 4]; [aen-en-roepen 1]; [aenroept 42]; [anroept 2]; [Aenroept 1]; [aneroept 1]; [aenriepen. 1]
aanroeping	NOU	28	1	1	2	0	24	[Aenroepinge 1]; [aenroepinge 22]; [aenroepingen 1]; [aenroepinghe. 1]; [aenroepinghe 3]
aanroeren	VRB	202	0	54	0	58	90	[aen-roerde 3]; [aenrueren 1]; [aen-geroert 9]; [aenroerde 6]; [Aenroeren 1]; [aen-roeren 20]; [aenroerden 2]; [aenroeret 1]; [aenroert 38]; [aenroeren 46]; [aenroerende 4]; [aengheroert 4]; [aengeroert 41]; [aenroere 2]; [aen-roerden 2]; [aenruert 2]; [aen-roert 20]
aanroeren	NOU	28	0	4	0	11	13	[aen-geroert 1]; [aen-roeren 2]; [aenroert 9]; [aenroeren 9]; [aen-roert 7]
aanroeren	ADJ	13	0	4	0	4	5	[aen-roerde 1]; [aen-geroert 1]; [Haroher 1]; [aen-roerder 1]; [aenroerden 1]; [aenroert 5]; [aengheroert 1]; [aenruerde 1]; [aen-roert 1]
aanschijn	VRB	14	5	0	6	0	3	[aenschijn 14]
aanschijn	NEPER?	11	2	0	8	0	1	[aenschijn 11]
aanschijn	NOU	198	50	10	71	2	65	[aenscijn 28]; [aenschijns 20]; [aenschijn 148]; [aenschijn. 1]; [aenscijn. 1]
aanschijn	ADV	81	13	9	44	0	15	[aenschijn 81]
aanschouw	NOU	199	164	1	31	2	1	[anscouwen 1]; [aenscouwene 1]; [aenscouwen 184]; [aenscouwen. 6]; [aenscouwens 1]; [aen-schouwen 1]; [aescouwen 1]; [aenschouwe 3]; [aenscouwe 1]
aanschouwen	ADJ	41	28	1	9	0	3	[aenscouwen 37]; [aenschouwende 1]; [Aenschouwet 1]; [aenschouwen 1]; [aenschouwet 1]
aanschouwen	NOU	21	3	0	6	3	9	[Aenscouwet 1]; [AEnschouwet 1]; [aenscouwet 2]; [AEn-schouwt 1]; [Aenschouwet 1]; [aenschouvvt 1]; [aenschouwen 13]; [aenschouwet 1]
aanschouwen	VRB	410	123	21	30	34	202	[aenscouwene 1]; [aengeschouwt 6]; [aenscouwen 109]; [aenschouwde 5]; [aenscouwen. 12]; [aenschout 2]; [aenschouwen. 2]; [anscouwen. 1]; [aen-schouwt 3]; [aen-schouwde 1]; [anscouwede 1]; [Aenschouwt 4]; [anscouwede. 1]; [aenschouwende 13]; [Aenschout 1]; [aenscouwende 1]; [aen-schouwen 10]; [aenscouwet 9]; [aenschouvven 1]; [Aenschouwen 1]; [Aenschouwet 1]; [aenschouvve 1]; [aenschouwt 49]; [aenschouwen 162]; [aenschouwet 5]; [aen-scouwen 1]; [aanscouwen 1]; [aenscouwe 2]; [aenschouwden 4]
aanschouwing	NOU	13	2	1	0	0	10	[aenscouwinghe 2]; [aenschouwinge 11]
aanschrijven	VRB	23	1	7	0	5	10	[aenschrijuen 4]; [aenscriuen 1]; [aengheschreuen 2]; [aengeschreven 7]; [aen-schrijven 1]; [aengeschreuen 1]; [aenschrijven 4]; [aen-geschreven 3]
aansieren	NEPER	14	0	11	0	0	3	[Ahasuerus 2]; [Ahassuerus 1]; [Ahasueros 11]
aansieren	NOU	27	0	22	0	0	5	[Ahasueri 1]; [Assyries 1]; [Ahasueros 25]
aanslaan	VRB	18	0	2	2	1	13	[aenslaet. 1]; [aensloegen 1]; [aensloegh 1]; [aenslaet 2]; [aen-geslagen 1]; [aengeslagen 6]; [aengheslaghen 2]; [aenslaen 4]
aanslag	NOU	176	0	58	0	34	84	[Anslagh 1]; [aen-slagen 9]; [aen-slagh 12]; [Aenslagen 1]; [aen-sla-gen 1]; [aenslagh 23]; [Aenslaghen 1]; [aenslach 16]; [Aenslagh 3]; [aenslaghen 31]; [aenslagen 78]
aanslag	VRB	10	0	1	0	5	4	[aenslaghen 1]; [aenslagen. 1]; [aen-slagen 5]; [aenslagen 3]
aanspraak	NOU	96	0	0	3	3	90	[aen-sprake 1]; [aenspraecke 1]; [aenspraeck 1]; [aensprake 87]; [Aensprake 6]
aanspreken	VRB	111	2	7	36	7	59	[aenspreeckt 18]; [aen-sprecken 1]; [aenghesproken 25]; [aenspreken 28]; [aangesproken 1]; [aen-spreken 1]; [aen-gesproken 4]; [aengesproken 12]; [aenspreeckende 1]; [aensprack 1]; [aenspraken 13]; [aensprekende 5]; [aenspreect 1]
aanspreken	NOU	11	2	0	2	2	5	[aenghesproken 2]; [aensprac 1]; [ansprekende 1]; [aensprack 4]; [aenspraken 1]; [aensprekende 1]; [aenspreeckster 1]
aanstaan	VRB	38	2	14	3	14	5	[anstaet 1]; [aenstonde 1]; [aenstaet 2]; [aen-staet 1]; [aenstaen 18]; [aenstaenden 3]; [aen-staen 12]
aanstaande	ADJ	58	1	0	8	0	49	[aenstaender 1]; [aenstaende 57]
aansteken	NOU	17	0	5	1	4	7	[aensteke 2]; [aensteecken 3]; [aensteeckt 3]; [aen-steecken 1]; [aensteeckinge 1]; [aensteken 4]; [aenstack 1]; [aen-steke 1]; [aensteekinge 1]
